image_path,prompt
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-03-31_22-26-21_UTC_3.jpg,a photo of a woman with long blonde hair wearing a pink dress and wearing a crown of flowers.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-02-10_18-27-00_UTC_3.jpg,a portrait of a woman in a field of flowers with purple flowers in the background.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-03-09_23-06-35_UTC_3.jpg,a photo of a woman in a white dress lying on the ground surrounded by flowers in a forest.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-02-28_15-32-58_UTC_4.jpg,a woman holding a bouquet of purple flowers in front of a blurred background.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-02-10_18-27-00_UTC_7.jpg,a photo of a young woman covered in flowers and little flowers.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-02-28_15-32-58_UTC_2.jpg,A woman wearing a blue dress standing in a field of purple plants and flowers.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-10-07_21-50-17_UTC_5.jpg,a close-up of a woman's face covered in flowers and butterflies.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-03-31_22-26-21_UTC_2.jpg,a woman with long blonde hair in a pink dress standing in a field of lavender.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-04-09_21-46-30_UTC_1.jpg,a black and white photo of a woman wearing a floral crown and holding a bouquet of flowers.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-03-09_23-06-35_UTC_8.jpg,a woman sleeping with flowers in her hair and a crown on her head.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-09-08_21-13-23_UTC.jpg,a close-up image of a couple kissing in a fantasy setting.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-03-17_23-57-28_UTC_3.jpg,A portrait of a young woman wearing a crown of flowers.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-10-07_21-50-17_UTC_2.jpg,A woman wearing a butterfly headdress with butterflies in her hair and flowers in her hair.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-04-09_21-46-30_UTC_3.jpg,a black and white photo of a woman with flowers in her hair and a crown on her head.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-02-10_18-27-00_UTC_8.jpg,a photo of a young woman with long blonde hair wearing a white dress and a crown of flowers.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-11-02_19-41-01_UTC_2.jpg,a woman holding a cat in her arms and wearing a black long-sleeved dress.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-07-13_20-58-44_UTC_5.jpg,a close-up of a woman with long red hair lying on a bed of wildflowers.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-05-04_18-11-07_UTC.jpg,a white woman with long blonde hair wearing a black dress and holding a white flower in her hand.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-05-28_21-17-55_UTC_3.jpg,a portrait of a young Asian woman wearing a pink dress with a crown on her head in front of a white background.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-03-17_23-57-28_UTC_4.jpg,A young woman with long blonde hair wearing a pink dress and a crown of flowers in a forest.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-04-04_17-35-10_UTC_1.jpg,a woman standing in a field of flowers with a white dress and a bouquet of flowers behind her.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-04-09_21-46-30_UTC_2.jpg,a black and white photo of a woman with flowers in her hair.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-02-10_18-27-00_UTC_1.jpg,a woman wearing a crown holding a bouquet of flowers in the snow.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-02-10_18-27-00_UTC_5.jpg,a white woman in a white dress holding a white crown in front of a white tree with white flowers.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-07-13_20-58-44_UTC_2.jpg,a red-haired woman lying on a bed of flowers with her eyes closed.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-04-05_20-05-55_UTC.jpg,An image of a woman wearing a butterfly headdress with butterflies in her hair and flowers in her hair.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-10-07_21-50-17_UTC_6.jpg,a close-up of a collage of butterflies and flowers in a dark green vase.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-10-07_21-50-17_UTC_3.jpg,a close-up of a woman's face covered in flowers and butterflies.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-03-03_19-22-12_UTC.jpg,a portrait of a woman wearing a white dress and a crown of pearls.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-10-07_21-50-17_UTC_4.jpg,"a close-up of a collage of butterflies, flowers, and a woman's face."
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-02-10_18-27-00_UTC_4.jpg,a close-up of a model wearing a turquoise dress with a crown of flowers on her head.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-04-04_00-35-25_UTC.jpg,a close-up of a woman's face covered in red and white makeup with flowers in the background.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-02-28_15-32-58_UTC_1.jpg,a woman wearing a black dress standing in a field of purple flowers.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-03-31_22-26-21_UTC_1.jpg,a woman in a pink dress standing in a field of lavender with her hair blowing in the wind.
kotakb/kotakb_21-23_with-captions_tagged/2021/2021-05-28_21-17-55_UTC_2.jpg,a woman wearing a kimono standing in a snowy landscape.
